"codigo_ocorrencia";"ocorrencia_classificacao";"ocorrencia_latitude";"ocorrencia_longitude";"ocorrencia_cidade";"ocorrencia_uf";"ocorrencia_pais";"ocorrencia_aerodromo";"ocorrencia_dia";"ocorrencia_hora";"investigacao_aeronave_liberada";"investigacao_status";"divulgacao_relatorio_numero";"divulgacao_relatorio_publicado";"divulgacao_dia_publicacao";"total_recomendacoes";"total_aeronaves_envolvidas";"ocorrencia_saida_pista";"Mes";"Dia_mes";"Semana_mes";"Dia_Semana";"Hora"
52695;"INCIDENTE GRAVE";-19,9091666667;-43,9891666667;"BELO HORIZONTE";"MG";"BRASIL";"SBPR";2014-10-26;17:45:00;"SIM";"FINALIZADA";"IG-178/CENIPA/2014";"SIM";2015-07-27;0;1;"SIM";10;26;4;1;17
52652;"ACIDENTE";NA;NA;"CAMPINA GRANDE DO SUL";"PR";"BRASIL";"";2014-10-27;16:30:00;"SIM";"FINALIZADA";"A-179/CENIPA/2014";"SIM";2015-06-03;0;1;"NÃO";10;27;4;2;16
52730;"INCIDENTE";NA;NA;"FLORIANÓPOLIS";"SC";"BRASIL";"SBFL";2014-10-27;12:47:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;27;4;2;12
52653;"INCIDENTE GRAVE";-3,0727777778;-60,0211111111;"MANAUS";"AM";"BRASIL";"SWFN";2014-10-28;14:45:00;"SIM";"FINALIZADA";"IG-180/CENIPA/2014";"SIM";2016-04-22;0;1;"SIM";10;28;4;3;14
52696;"INCIDENTE GRAVE";-23,1277777778;-46,5747222222;"ATIBAIA";"SP";"BRASIL";"SDTB";2014-10-28;18:20:00;"SIM";"FINALIZADA";"IG-181/CENIPA/2014";"SIM";2015-04-30;0;1;"NÃO";10;28;4;3;18
52731;"INCIDENTE";NA;NA;"CUIABÁ";"MT";"BRASIL";"";2014-10-31;23:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;31;5;6;23
52654;"ACIDENTE";-7,8444444444;-34,8913888889;"IGARASSU";"PE";"BRASIL";"SIFC";2014-11-01;13:50:00;"";"FINALIZADA";"A-182/CENIPA/2014";"SIM";2015-05-15;0;1;"NÃO";11;1;1;7;13
52751;"INCIDENTE";NA;NA;"GUARULHOS";"SP";"BRASIL";"SBGR";2014-11-01;22:50:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;1;1;7;22
52752;"INCIDENTE";NA;NA;"SÃO PAULO";"SP";"BRASIL";"SBMT";2014-11-02;11:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;2;1;1;11
52753;"INCIDENTE";NA;NA;"MARINGÁ";"PR";"BRASIL";"";2014-11-02;20:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;2;1;1;20
52697;"INCIDENTE GRAVE";NA;NA;"RIO DE JANEIRO";"RJ";"BRASIL";"";2014-11-03;17:40:00;"SIM";"ATIVA";"IG-183/CENIPA/2014";"NÃO";NA;0;1;"NÃO";11;3;1;2;17
52933;"INCIDENTE";NA;NA;"MARINGÁ";"PR";"BRASIL";"";2014-11-03;17:28:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;3;1;2;17
52754;"INCIDENTE";NA;NA;"RIBEIRÃO PRETO";"SP";"BRASIL";"SBRP";2014-11-04;03:18:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;4;1;3;3
52700;"INCIDENTE";NA;NA;"UBERLÂNDIA";"MG";"BRASIL";"SBUL";2014-11-07;17:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;7;1;6;17
52673;"ACIDENTE";NA;NA;"TERESINA";"PI";"BRASIL";"";2014-11-08;20:50:00;"";"";"";"NÃO";NA;0;1;"NÃO";11;8;2;7;20
52755;"INCIDENTE";NA;NA;"PORTO ALEGRE";"RS";"BRASIL";"SBPA";2014-11-08;15:31:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;8;2;7;15
52692;"INCIDENTE GRAVE";NA;NA;"MARINGÁ";"PR";"BRASIL";"SBMG";2014-11-09;17:00:00;"SIM";"FINALIZADA";"IG-184/CENIPA/2014";"SIM";2015-04-30;0;1;"SIM";11;9;2;1;17
52815;"ACIDENTE";-15,789167;-44,5625;"MACARANI";"BA";"BRASIL";"";2014-11-10;16:23:00;"SIM";"FINALIZADA";"A-515/CENIPA/2016";"SIM";2017-02-08;0;1;"NÃO";11;10;2;2;16
52956;"INCIDENTE";NA;NA;"GUARULHOS";"SP";"BRASIL";"SBGR";2014-11-11;15:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;11;2;3;15
52757;"INCIDENTE";NA;NA;"SÃO PAULO";"SP";"BRASIL";"SBMT";2014-11-12;13:19:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;12;2;4;13
52968;"INCIDENTE";NA;NA;"SANTARÉM";"PA";"BRASIL";"SBSN";2014-11-12;16:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;12;2;4;16
52758;"INCIDENTE";NA;NA;"ARAPONGAS";"PR";"BRASIL";"";2014-11-13;16:20:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;13;2;5;16
52759;"INCIDENTE";NA;NA;"JUAZEIRO DO NORTE";"CE";"BRASIL";"SBJU";2014-11-13;14:20:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;13;2;5;14
52950;"INCIDENTE";NA;NA;"CORNÉLIO PROCÓPIO";"PR";"BRASIL";"SSCP";2014-11-14;11:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;14;2;6;11
52698;"INCIDENTE GRAVE";NA;NA;"CORREIA PINTO";"SC";"BRASIL";"SBLJ";2014-11-15;17:10:00;"SIM";"FINALIZADA";"IG-186/CENIPA/2014";"SIM";2015-11-16;0;1;"NÃO";11;15;3;7;17
52671;"ACIDENTE";NA;NA;"CIDADE GAÚCHA";"PR";"BRASIL";"";2014-11-17;17:58:00;"SIM";"FINALIZADA";"IG-187/CENIPA/2014";"SIM";2018-09-24;3;1;"NÃO";11;17;3;2;17
52713;"INCIDENTE";NA;NA;"JUNDIAÍ";"SP";"BRASIL";"SBJD";2014-11-18;18:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;18;3;3;18
52760;"INCIDENTE";NA;NA;"LONDRINA";"PR";"BRASIL";"SBLO";2014-11-18;22:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;18;3;3;22
52675;"ACIDENTE";-22,979167;-46,5375;"BRAGANÇA PAULISTA";"SP";"BRASIL";"SBBP";2014-11-19;11:25:00;"";"ATIVA";"A-188/CENIPA/2014";"NÃO";NA;0;1;"NÃO";11;19;3;4;11
52761;"INCIDENTE";NA;NA;"CONFINS";"MG";"BRASIL";"SBCF";2014-11-19;20:40:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;19;3;4;20
52762;"INCIDENTE";NA;NA;"BELÉM";"PA";"BRASIL";"SBBE";2014-11-19;20:20:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;19;3;4;20
52763;"INCIDENTE";NA;NA;"JUNDIAÍ";"SP";"BRASIL";"SBJD";2014-11-20;12:46:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;20;3;5;12
